"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2024","194,300","201,000","200,500","194,000","317.63K","-3.09%"
"05/10/2024","200,500","199,800","202,500","196,700","245.05K","0.30%"
"05/09/2024","199,900","202,500","203,000","199,700","291.61K","-1.53%"
"05/08/2024","203,000","204,500","205,500","202,500","197.43K","-0.73%"
"05/07/2024","204,500","204,000","204,500","201,000","268.20K","0.49%"
"05/03/2024","203,500","201,500","205,500","200,000","358.27K","1.75%"
"05/02/2024","200,000","202,500","205,500","200,000","378.27K","-0.99%"
"04/30/2024","202,000","203,500","205,000","202,000","273.79K","-1.46%"
"04/29/2024","205,000","201,500","206,500","201,000","495.26K","1.74%"
"04/26/2024","201,500","206,000","207,500","199,800","1.10M","-4.95%"
"04/25/2024","212,000","212,500","217,000","207,000","583.46K","0.47%"
"04/24/2024","211,000","210,500","214,500","209,000","575.02K","0.48%"
"04/23/2024","210,000","209,000","212,500","202,500","1.09M","-1.18%"
"04/22/2024","212,500","233,500","238,500","206,000","1.03M","-7.81%"
"04/19/2024","230,500","227,500","232,000","221,500","232.89K","0.88%"
"04/18/2024","228,500","220,000","230,500","220,000","259.81K","4.34%"
"04/17/2024","219,000","220,500","225,000","219,000","168.10K","-1.79%"
"04/16/2024","223,000","214,500","223,000","212,000","237.86K","3.96%"
"04/15/2024","214,500","210,500","215,500","208,000","103.93K","0.70%"
"04/12/2024","213,000","214,500","220,000","211,500","168.93K","-1.62%"
"04/11/2024","216,500","213,500","217,000","207,500","205.80K","0.00%"
"04/09/2024","216,500","218,500","224,500","216,000","109.16K","-0.23%"
"04/08/2024","217,000","224,500","226,500","217,000","186.52K","-3.13%"
"04/05/2024","224,000","220,000","228,000","218,500","202.62K","1.36%"
"04/04/2024","221,000","225,000","225,500","220,500","172.84K","-1.34%"
"04/03/2024","224,000","220,500","228,500","220,000","182.47K","0.67%"
"04/02/2024","222,500","223,500","226,000","216,000","271.19K","-1.77%"
"04/01/2024","226,500","233,500","236,000","223,500","247.22K","-1.52%"
"03/29/2024","230,000","230,500","233,000","224,000","231.87K","0.44%"
"03/28/2024","229,000","226,500","232,000","222,500","478.48K","2.23%"
"03/27/2024","224,000","212,500","228,500","211,500","876.34K","6.92%"
"03/26/2024","209,500","207,000","213,000","204,000","311.96K","1.21%"
"03/25/2024","207,000","195,800","208,500","195,800","365.65K","5.72%"
"03/22/2024","195,800","194,000","196,600","192,000","162.32K","0.31%"
"03/21/2024","195,200","195,200","199,200","194,500","181.77K","0.98%"
"03/20/2024","193,300","193,400","195,900","191,300","104.48K","0.31%"
"03/19/2024","192,700","197,300","197,300","191,200","188.63K","-2.38%"
"03/18/2024","197,400","200,000","200,500","197,000","98.26K","-0.80%"
"03/17/2024","199,000","199,000","199,000","199,000","0.00K","0.00%"
"03/15/2024","199,000","199,000","200,000","196,600","110.48K","-0.50%"
"03/14/2024","200,000","201,000","204,000","199,500","199.70K","-0.74%"
"03/13/2024","201,500","204,500","205,000","200,000","125.97K","-1.47%"
"03/12/2024","204,500","203,500","205,000","199,800","178.22K","0.74%"
"03/11/2024","203,000","194,600","203,500","193,000","341.86K","4.32%"
"03/10/2024","194,600","194,600","194,600","194,600","","0.00%"
"03/08/2024","194,600","187,800","198,000","187,800","420.57K","4.68%"
"03/07/2024","185,900","187,500","188,400","183,000","239.93K","-0.85%"
"03/06/2024","187,500","188,600","190,600","186,500","201.72K","-0.58%"
"03/05/2024","188,600","192,700","193,000","188,000","357.35K","-2.13%"
"03/04/2024","192,700","199,200","202,000","192,300","362.78K","-3.21%"
"03/03/2024","199,100","199,100","199,100","199,100","","0.00%"
"02/29/2024","199,100","201,000","201,500","199,000","240.51K","-1.44%"
"02/28/2024","202,000","202,500","205,000","200,500","163.77K","0.00%"
"02/27/2024","202,000","212,000","212,500","200,500","552.41K","-7.13%"
"02/26/2024","217,500","217,500","219,000","212,000","133.63K","0.93%"
"02/25/2024","215,500","215,500","215,500","215,500","","0.00%"
"02/23/2024","215,500","217,500","221,000","215,000","160.77K","-0.92%"
"02/22/2024","217,500","212,000","221,500","210,000","348.02K","3.57%"
"02/21/2024","210,000","204,500","213,500","204,500","269.84K","2.94%"
"02/20/2024","204,000","203,500","206,500","199,900","149.57K","0.00%"
"02/19/2024","204,000","208,500","211,000","202,500","249.26K","-2.16%"
"02/18/2024","208,500","208,500","208,500","208,500","","0.00%"
"02/16/2024","208,500","221,000","221,500","206,500","268.12K","-4.79%"
"02/15/2024","219,000","220,500","223,000","215,000","162.72K","0.23%"
"02/14/2024","218,500","203,000","223,000","200,500","402.26K","6.33%"
"02/13/2024","205,500","203,000","206,000","200,000","181.15K","2.75%"
"02/12/2024","200,000","200,000","200,000","200,000","","0.00%"
"02/08/2024","200,000","197,700","202,000","197,000","181.15K","1.32%"
"02/07/2024","197,400","197,400","199,600","195,500","154.14K","0.46%"
"02/06/2024","196,500","199,000","201,500","196,300","167.11K","-1.26%"
"02/05/2024","199,000","204,000","204,500","198,300","207.53K","-3.16%"
"02/04/2024","205,500","205,500","205,500","205,500","","0.00%"
"02/02/2024","205,500","201,000","209,000","200,000","242.95K","3.27%"
"02/01/2024","199,000","200,500","203,000","195,800","269.11K","-1.24%"
"01/31/2024","201,500","201,500","206,000","200,000","140.06K","-1.47%"
"01/30/2024","204,500","207,000","208,000","203,500","131.22K","0.00%"
"01/29/2024","204,500","216,500","218,000","204,000","330.09K","-5.54%"
"01/28/2024","216,500","216,500","216,500","216,500","","0.00%"
"01/26/2024","216,500","216,000","221,500","215,000","98.47K","0.23%"
"01/25/2024","216,000","221,500","222,500","209,500","260.14K","-2.70%"
"01/24/2024","222,000","220,000","224,000","217,000","107.83K","1.37%"
"01/23/2024","219,000","216,500","224,000","216,500","167.38K","1.39%"
"01/22/2024","216,000","221,500","222,000","212,500","185.90K","-1.82%"
"01/21/2024","220,000","220,000","220,000","220,000","","0.00%"
"01/19/2024","220,000","221,500","225,000","217,500","176.48K","0.23%"
"01/18/2024","219,500","222,000","225,500","217,500","208.50K","-1.79%"
"01/17/2024","223,500","230,000","232,500","219,000","233.37K","-2.19%"
"01/16/2024","228,500","233,500","236,000","227,000","243.21K","-2.14%"
"01/15/2024","233,500","247,000","249,500","232,500","305.59K","-5.47%"
"01/14/2024","247,000","247,000","247,000","247,000","","0.00%"
"01/12/2024","247,000","257,000","260,000","244,500","195.81K","-3.52%"
"01/11/2024","256,000","252,500","261,000","250,500","332.17K","2.20%"
"01/10/2024","250,500","248,000","253,500","244,000","172.67K","1.01%"
"01/09/2024","248,000","252,500","253,500","245,500","192.06K","-1.20%"
"01/08/2024","251,000","251,000","255,000","248,500","169.33K","-0.40%"
"01/07/2024","252,000","252,000","252,000","252,000","","0.00%"
"01/05/2024","252,000","242,500","257,000","242,500","376.87K","4.78%"
